Running Sim0_1
Waf: Entering directory `/home/kajihara/backoff/build'
Waf: Leaving directory `/home/kajihara/backoff/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.431s)
Uplink interval:+147000.0ns Downlink interval:+0.0ns
ApplicationTxStart: 1 Duration: 5
nBss: 1 nStas/Bss: 5 => nStas: 5
BO 0 0 7
CW 1000151 1 31
BO 1000151 1 20
CW 1000151 2 31
BO 1000151 2 14
CW 1000151 3 31
BO 1000151 3 10
CW 1000151 4 31
BO 1000151 4 8
CW 1000151 5 31
BO 1000151 5 13
BO 1000342 0 4
CW 1000402 4 15
BO 1000402 4 15
CW 1000590 3 15
BO 1000590 3 13
CW 1000802 5 63
BO 1000802 5 44
CW 1000802 0 31
BO 1000802 0 20
CW 1000906 2 15
BO 1000906 2 3
CW 1001130 1 15
BO 1001130 1 10
BO 1001375 3 12
BO 1001402 4 11
CW 1001435 0 15
BO 1001435 0 0
BO 1001435 0 12
BO 1001849 4 10
BO 1001906 2 1
CW 1002043 0 31
BO 1002043 0 2
BO 1002130 1 10
CW 1002195 3 31
BO 1002195 3 12
BO 1002444 2 11
CW 1002623 0 15
BO 1002623 0 12
CW 1002880 5 127
BO 1002880 5 106
CW 1003032 1 31
BO 1003032 1 12
CW 1003299 3 15
BO 1003299 3 1
BO 1003478 0 12
CW 1003892 1 15
BO 1003892 1 12
BO 1004071 0 11
BO 1004982 0 2
CW 1005042 5 15
BO 1005042 5 5
BO 1005179 1 7
BO 1005179 2 9
BO 1005179 3 11
BO 1005179 4 5
BO 1005239 0 15
BO 1005768 5 1
BO 1006668 5 1
BO 1008887 4 7
BO 1013006 5 13
BO 1018457 1 1
CW 1023976 1 31
BO 1023976 1 14
CW 1023976 2 31
BO 1023976 2 5
BO 1029329 3 10
BO 1034789 4 11
CW 1040267 2 15
BO 1040267 2 6
BO 1045736 5 6
BO 1051196 3 3
BO 1056656 2 15
BO 1062107 4 9
CW 1067617 3 31
BO 1067617 3 23
CW 1067617 1 63
BO 1067617 1 21
BO 1072961 5 2
BO 1078430 5 14
BO 1083917 4 6
BO 1089404 2 11
BO 1094864 4 14
BO 1100333 5 12
CW 1105811 1 15
BO 1105811 1 7
CW 1111271 3 15
BO 1111271 3 6
BO 1116722 2 5
CW 1122268 4 31
BO 1122268 4 10
CW 1122268 1 31
BO 1122268 1 19
CW 1127671 2 31
BO 1127671 2 16
CW 1127671 5 31
BO 1127671 5 26
CW 1127671 3 31
BO 1127671 3 14
CW 1133105 4 15
BO 1133105 4 1
BO 1138565 4 2
BO 1144034 4 5
CW 1149512 1 15
BO 1149512 1 5
BO 1154972 4 1
BO 1160432 4 6
CW 1165951 1 31
BO 1165951 1 9
CW 1165951 3 63
BO 1165951 3 60
CW 1171304 2 15
BO 1171304 2 8
BO 1176773 4 1
BO 1182233 4 0
BO 1182233 4 9
BO 1187711 2 11
CW 1193221 1 63
BO 1193221 1 49
CW 1193221 5 63
BO 1193221 5 22
BO 1198601 4 13
BO 1204097 2 8
BO 1209611 4 2
BO 1215062 2 11
BO 1220522 4 13
CW 1226018 5 15
BO 1226018 5 5
BO 1231496 2 15
BO 1236956 5 4
BO 1242416 4 6
BO 1247885 5 14
BO 1253363 4 15
BO 1258850 2 7
CW 1264319 3 15
BO 1264319 3 13
BO 1269788 5 8
CW 1275239 1 15
BO 1275239 1 9
BO 1280690 2 7
BO 1286159 4 2
BO 1291628 4 6
BO 1297079 5 8
BO 1302530 2 6
CW 1308040 3 31
BO 1308040 3 19
CW 1308040 1 31
BO 1308040 1 6
BO 1313411 4 10
BO 1318871 2 14
BO 1324322 5 4
CW 1329800 1 15
BO 1329800 1 8
BO 1335251 5 7
BO 1340720 4 15
CW 1346266 5 31
BO 1346266 5 17
CW 1346266 1 31
BO 1346266 1 4
BO 1351610 2 0
BO 1351610 2 10
CW 1357079 3 15
BO 1357079 3 4
CW 1362539 1 15
BO 1362539 1 5
BO 1368008 3 13
BO 1373468 4 3
CW 1378978 1 31
BO 1378978 1 20
CW 1378978 2 31
BO 1378978 2 29
BO 1384340 4 5
CW 1389818 5 15
BO 1389818 5 5
BO 1395278 4 8
BO 1400738 3 13
BO 1406198 5 9
BO 1411685 4 8
BO 1417172 5 15
CW 1422623 1 15
BO 1422623 1 11
BO 1428074 3 10
BO 1433534 4 14
CW 1439030 2 15
BO 1439030 2 10
CW 1444558 1 31
BO 1444558 1 28
CW 1444558 3 31
BO 1444558 3 11
BO 1449920 5 9
BO 1455389 4 9
BO 1460849 2 4
CW 1466395 2 31
BO 1466395 2 4
CW 1466395 5 31
BO 1466395 5 23
CW 1471748 3 15
BO 1471748 3 5
BO 1477199 4 5
CW 1482677 2 15
BO 1482677 2 14
BO 1488128 3 11
BO 1493579 4 14
CW 1499111 1 15
BO 1499111 1 7
BO 1504562 3 11
BO 1510022 2 2
BO 1515482 4 5
BO 1520933 2 10
CW 1526384 5 15
BO 1526384 5 15
BO 1531835 1 14
BO 1537304 4 4
BO 1542764 3 3
BO 1548233 4 0
BO 1548233 4 15
CW 1553743 3 31
BO 1553743 3 20
CW 1553743 2 31
BO 1553743 2 27
CW 1559191 5 31
BO 1559191 5 24
CW 1559191 1 31
BO 1559191 1 12
BO 1564607 4 9
BO 1570139 4 12
CW 1575599 3 15
BO 1575599 3 15
CW 1581050 1 15
BO 1581050 1 13
CW 1586546 2 15
BO 1586546 2 10
BO 1592024 4 1
CW 1597543 4 31
BO 1597543 4 18
CW 1597543 5 63
BO 1597543 5 1
BO 1602896 1 4
BO 1608347 3 8
CW 1613798 5 15
BO 1613798 5 3
BO 1619249 2 4
BO 1624709 1 1
BO 1630160 5 8
BO 1635611 1 1
BO 1641062 2 8
BO 1646513 1 9
BO 1651964 3 7
BO 1657451 5 12
BO 1662911 2 8
BO 1668362 3 3
CW 1673872 4 63
BO 1673872 4 9
CW 1673872 1 31
BO 1673872 1 12
BO 1679234 3 13
BO 1684712 2 11
BO 1690172 5 0
BO 1690172 5 6
CW 1695650 4 15
BO 1695650 4 1
BO 1701110 4 5
CW 1706620 5 31
BO 1706620 5 24
CW 1706620 1 63
BO 1706620 1 4
BO 1711964 3 8
BO 1717424 2 4
BO 1722884 4 3
CW 1728335 1 15
BO 1728335 1 13
BO 1733795 2 4
BO 1739246 4 9
BO 1744697 3 4
BO 1750166 2 4
BO 1755626 3 8
BO 1761095 2 11
BO 1766546 4 10
BO 1771997 1 8
BO 1777475 3 2
CW 1782935 5 15
BO 1782935 5 0
BO 1782935 5 13
BO 1788386 3 8
BO 1793846 1 13
CW 1799356 2 31
BO 1799356 2 3
CW 1799356 4 31
BO 1799356 4 4
BO 1804745 3 10
CW 1810282 2 63
BO 1810282 2 19
CW 1810282 5 31
BO 1810282 5 23
CW 1815626 4 15
BO 1815626 4 4
BO 1821086 1 2
CW 1826614 1 31
BO 1826614 1 21
CW 1826614 4 31
BO 1826614 4 27
BO 1831958 3 9
BO 1837490 3 14
CW 1842968 2 15
BO 1842968 2 6
CW 1848446 5 15
BO 1848446 5 0
BO 1848446 5 6
BO 1853915 2 1
CW 1859366 1 15
BO 1859366 1 10
BO 1864817 2 9
CW 1870336 5 31
BO 1870336 5 1
CW 1870336 3 31
BO 1870336 3 0
BO 1870336 3 9
CW 1875698 4 15
BO 1875698 4 11
CW 1881158 5 15
BO 1881158 5 10
CW 1886686 1 31
BO 1886686 1 26
CW 1886686 2 31
BO 1886686 2 1
CW 1892066 3 15
BO 1892066 3 3
CW 1897585 4 31
BO 1897585 4 29
CW 1897585 2 63
BO 1897585 2 59
BO 1902929 5 15
BO 1908380 3 1
BO 1913840 3 2
BO 1919309 3 13
BO 1924841 5 5
BO 1930319 3 7
BO 1935779 5 5
CW 1941239 1 15
BO 1941239 1 5
CW 1946776 5 31
BO 1946776 5 11
CW 1946776 3 31
BO 1946776 3 27
CW 1952188 1 31
BO 1952188 1 12
CW 1952188 4 63
BO 1952188 4 43
CW 1957631 5 15
BO 1957631 5 11
BO 1963181 5 8
CW 1968632 1 15
BO 1968632 1 2
CW 1974160 1 31
BO 1974160 1 18
CW 1974160 3 63
BO 1974160 3 10
CW 1979513 2 15
BO 1979513 2 5
BO 1984982 5 6
BO 1990451 2 7
BO 1995929 5 2
CW 2001380 3 15
BO 2001380 3 13
BO 2006840 5 13
BO 2012291 2 14
CW 2017778 1 15
BO 2017778 1 0
BO 2017778 1 2
BO 2023247 1 10
BO 2028716 3 15
CW 2034167 4 15
BO 2034167 4 2
BO 2039618 5 15
CW 2045137 4 31
BO 2045137 4 22
CW 2045137 2 31
BO 2045137 2 10
BO 2050508 1 8
BO 2056022 3 2
BO 2061473 1 3
BO 2066924 5 10
CW 2072434 3 31
BO 2072434 3 22
CW 2072434 2 63
BO 2072434 2 43
BO 2077787 1 6
BO 2083292 1 3
BO 2088743 5 15
CW 2094203 4 15
BO 2094203 4 12
BO 2099654 1 5
BO 2105150 1 14
CW 2110705 3 63
BO 2110705 3 22
CW 2110705 4 31
BO 2110705 4 27
BO 2116049 5 13
BO 2121563 1 5
CW 2127118 1 31
BO 2127118 1 22
CW 2127118 5 31
BO 2127118 5 16
CW 2132507 2 15
BO 2132507 2 0
BO 2132507 2 12
CW 2137976 3 15
BO 2137976 3 14
CW 2143463 4 15
BO 2143463 4 10
BO 2148950 2 5
CW 2154428 5 15
BO 2154428 5 9
BO 2159879 3 13
CW 2165389 2 31
BO 2165389 2 31
CW 2165389 4 31
BO 2165389 4 10
CW 2170760 1 15
BO 2170760 1 10
BO 2176238 5 6
BO 2181725 3 15
CW 2187244 5 31
BO 2187244 5 25
CW 2187244 4 63
BO 2187244 4 26
CW 2187244 1 31
BO 2187244 1 15
BO 2192705 3 13
CW 2198210 2 15
BO 2198210 2 12
CW 2203774 1 63
BO 2203774 1 7
CW 2203774 3 31
BO 2203774 3 6
BO 2209163 2 9
CW 2214641 5 15
BO 2214641 5 5
CW 2220092 4 15
BO 2220092 4 1
CW 2225611 4 31
BO 2225611 4 22
CW 2225611 3 63
BO 2225611 3 26
CW 2230955 1 15
BO 2230955 1 14
CW 2236474 5 31
BO 2236474 5 18
CW 2236474 2 31
BO 2236474 2 31
BO 2241926 1 11
CW 2247440 4 15
BO 2247440 4 7
CW 2252977 1 31
BO 2252977 1 29
CW 2252977 3 127
BO 2252977 3 46
BO 2258348 4 2
CW 2263808 5 15
BO 2263808 5 0
BO 2263808 5 14
BO 2269259 4 1
BO 2274719 4 2
BO 2280188 4 8
CW 2285693 2 15
BO 2285693 2 4
CW 2291212 4 31
BO 2291212 4 5
CW 2291212 5 31
BO 2291212 5 17
BO 2296574 2 4
BO 2302061 2 1
CW 2307512 4 15
BO 2307512 4 14
BO 2312963 2 6
CW 2318432 1 15
BO 2318432 1 15
BO 2323910 2 2
BO 2329379 2 8
CW 2334830 5 15
BO 2334830 5 1
BO 2340290 5 6
BO 2345741 4 3
BO 2351219 4 2
CW 2356729 1 31
BO 2356729 1 6
CW 2356729 2 31
BO 2356729 2 1
CW 2362132 3 255
BO 2362132 3 148
CW 2362132 5 31
BO 2362132 5 9
BO 2367476 4 13
CW 2372927 2 15
BO 2372927 2 9
CW 2378414 1 15
BO 2378414 1 7
CW 2383892 5 15
BO 2383892 5 8
BO 2389343 2 5
CW 2394871 1 31
BO 2394871 1 23
CW 2394871 4 31
BO 2394871 4 29
BO 2400233 2 5
BO 2405693 5 2
BO 2411162 5 1
BO 2416613 2 14
BO 2422064 5 15
BO 2427632 2 0
BO 2427632 2 7
BO 2433092 5 1
CW 2438543 1 15
BO 2438543 1 3
BO 2443994 5 15
BO 2449463 1 8
BO 2454914 2 5
CW 2460365 4 15
BO 2460365 4 1
BO 2465825 4 12
BO 2471294 2 2
BO 2476754 1 0
BO 2476754 1 9
BO 2482205 2 3
BO 2487674 5 15
BO 2493125 2 5
BO 2498594 4 12
BO 2504054 1 15
BO 2509505 2 2
BO 2514974 2 0
BO 2514974 2 4
BO 2520461 2 12
BO 2525912 5 15
BO 2531363 4 13
BO 2536850 1 14
BO 2542346 2 3
BO 2547815 4 11
CW 2553325 2 31
BO 2553325 2 15
CW 2553325 5 31
BO 2553325 5 15
BO 2558705 1 13
BO 2564201 4 2
BO 2569670 4 9
BO 2575157 1 10
CW 2580676 2 63
BO 2580676 2 14
CW 2580676 5 63
BO 2580676 5 36
BO 2586038 4 15
BO 2591534 1 11
CW 2597057 2 15
BO 2597057 2 4
BO 2602508 4 6
BO 2607968 1 8
BO 2613428 2 6
BO 2618897 4 10
CW 2624434 2 31
BO 2624434 2 27
CW 2624434 1 31
BO 2624434 1 0
BO 2624434 1 23
BO 2629832 4 7
CW 2635283 3 15
BO 2635283 3 7
CW 2640743 5 15
BO 2640743 5 5
BO 2646230 4 3
CW 2651740 5 31
BO 2651740 5 20
CW 2651740 3 31
BO 2651740 3 6
BO 2657102 4 0
BO 2657102 4 12
CW 2662607 3 15
BO 2662607 3 8
CW 2668094 1 15
BO 2668094 1 13
BO 2673545 4 9
CW 2679073 3 31
BO 2679073 3 7
CW 2679073 2 63
BO 2679073 2 41
CW 2684453 5 15
BO 2684453 5 5
BO 2689913 4 2
CW 2695441 4 31
BO 2695441 4 25
CW 2695441 1 31
BO 2695441 1 31
BO 2700785 5 7
CW 2706245 3 15
BO 2706245 3 8
BO 2711741 5 0
BO 2711741 5 8
BO 2717210 3 13
BO 2722706 5 6
BO 2728211 5 13
BO 2733662 3 6
CW 2739113 4 15
BO 2739113 4 6
CW 2744668 1 63
BO 2744668 1 34
CW 2744668 3 31
BO 2744668 3 21
BO 2750012 4 10
CW 2755481 2 15
BO 2755481 2 14
BO 2760941 5 10
BO 2766437 4 6
BO 2771924 5 9
CW 2777443 4 31
BO 2777443 4 26
CW 2777443 2 31
BO 2777443 2 22
CW 2782814 3 15
BO 2782814 3 9
BO 2788292 5 15
BO 2793788 3 12
CW 2799257 1 15
BO 2799257 1 14
BO 2804762 5 15
CW 2810290 2 63
BO 2810290 2 47
CW 2810290 3 31
BO 2810290 3 18
CW 2815661 4 15
BO 2815661 4 3
BO 2821112 1 15
BO 2826581 4 8
BO 2832068 5 5
BO 2837546 4 11
BO 2843006 5 3
BO 2848466 1 9
CW 2853985 5 31
BO 2853985 5 2
