Running Sim0_1
Waf: Entering directory `/home/kajihara/backoff/build'
Waf: Leaving directory `/home/kajihara/backoff/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.412s)
Uplink interval:+441000.0ns Downlink interval:+0.0ns
ApplicationTxStart: 1 Duration: 5
nBss: 1 nStas/Bss: 15 => nStas: 15
BO 0 0 7
CW 1000151 1 31
BO 1000151 1 20
CW 1000151 2 31
BO 1000151 2 14
CW 1000151 3 31
BO 1000151 3 10
CW 1000151 4 31
BO 1000151 4 8
CW 1000151 5 31
BO 1000151 5 13
CW 1000151 6 31
BO 1000151 6 27
CW 1000151 7 31
BO 1000151 7 24
CW 1000151 8 31
BO 1000151 8 8
CW 1000151 9 31
BO 1000151 9 2
CW 1000151 10 31
BO 1000151 10 21
CW 1000151 11 31
BO 1000151 11 25
CW 1000151 12 31
BO 1000151 12 25
CW 1000151 13 31
BO 1000151 13 13
CW 1000151 14 31
BO 1000151 14 15
CW 1000151 15 31
BO 1000151 15 18
BO 1000288 0 4
CW 1000348 9 15
BO 1000348 9 12
BO 1000563 0 10
CW 1000757 4 63
BO 1000757 4 62
CW 1000757 8 63
BO 1000757 8 19
CW 1000870 3 15
BO 1000870 3 13
CW 1001082 5 63
BO 1001082 5 44
CW 1001082 13 63
BO 1001082 13 18
CW 1001186 2 15
BO 1001186 2 3
CW 1001380 14 63
BO 1001380 14 26
CW 1001532 9 31
BO 1001532 9 13
CW 1001669 15 63
BO 1001669 15 45
CW 1001669 0 31
BO 1001669 0 1
CW 1001782 1 15
BO 1001782 1 10
BO 1001870 3 12
CW 1001961 10 15
BO 1001961 10 4
BO 1002080 2 1
CW 1002140 0 15
BO 1002140 0 12
CW 1002343 7 63
BO 1002343 7 63
CW 1002495 2 31
BO 1002495 2 22
CW 1002614 11 63
BO 1002614 11 53
CW 1002614 12 63
BO 1002614 12 26
CW 1002727 6 15
BO 1002727 6 9
BO 1002782 1 10
CW 1002924 8 15
BO 1002924 8 5
BO 1002961 10 15
CW 1003248 9 15
BO 1003248 9 12
CW 1003427 13 15
BO 1003427 13 6
BO 1003727 6 7
BO 1003742 3 6
BO 1003921 0 1
BO 1003924 8 9
BO 1004109 0 12
BO 1004433 1 6
BO 1004748 13 9
CW 1004951 14 127
BO 1004951 14 35
CW 1005103 6 31
BO 1005103 6 8
BO 1005361 8 11
BO 1005676 10 13
CW 1006000 2 15
BO 1006000 2 9
BO 1006188 0 12
CW 1006409 12 127
BO 1006409 12 78
CW 1006561 6 63
BO 1006561 6 12
CW 1006701 5 15
BO 1006701 5 13
BO 1006907 0 11
CW 1007104 15 15
BO 1007104 15 11
CW 1007352 4 127
BO 1007352 4 92
CW 1007504 5 31
BO 1007504 5 11
BO 1007617 0 2
CW 1007829 0 31
BO 1007829 0 30
CW 1007829 14 255
BO 1007829 14 230
CW 1007981 15 31
BO 1007981 15 20
CW 1008103 11 15
BO 1008103 11 4
CW 1008463 5 15
BO 1008463 5 1
CW 1008642 7 15
BO 1008642 7 15
CW 1009074 15 15
BO 1009074 15 6
BO 1009103 11 2
BO 1009407 11 10
CW 1009613 0 15
BO 1009613 0 9
BO 1009642 7 13
BO 1009873 0 4
BO 1010215 7 13
BO 1010394 0 9
CW 1010645 12 15
BO 1010645 12 6
BO 1010824 0 10
BO 1011184 12 14
BO 1011399 0 7
BO 1011641 0 3
BO 1011868 0 10
CW 1011928 4 15
BO 1011928 4 10
BO 1012137 4 5
BO 1012197 0 9
BO 1012557 4 7
BO 1013801 0 10
CW 1013861 14 15
BO 1013861 14 10
BO 1014070 14 12
BO 1014070 1 12
BO 1014070 2 2
BO 1014070 3 1
BO 1014070 4 11
BO 1014070 5 1
BO 1014070 6 51
BO 1014070 7 9
BO 1014070 8 14
BO 1014070 9 14
BO 1014070 10 11
BO 1014070 11 0
BO 1014070 12 12
BO 1014070 13 10
BO 1014070 15 7
BO 1014130 0 1
BO 1014445 11 7
CW 1014791 3 31
BO 1014791 3 22
CW 1014791 5 31
BO 1014791 5 27
BO 1015227 2 6
BO 1015962 15 3
BO 1016853 11 10
CW 1017991 2 31
BO 1017991 2 30
CW 1018371 7 31
BO 1018371 7 9
BO 1020295 13 14
CW 1022765 15 31
BO 1022765 15 10
CW 1023333 4 31
BO 1023333 4 19
CW 1023333 10 31
BO 1023333 10 15
CW 1027404 1 31
BO 1027404 1 15
CW 1027404 12 31
BO 1027404 12 12
CW 1027596 14 31
BO 1027596 14 17
CW 1033008 8 31
BO 1033008 8 25
CW 1033008 9 31
BO 1033008 9 23
BO 1038388 11 9
CW 1043839 7 15
BO 1043839 7 8
CW 1049299 15 15
BO 1049299 15 13
CW 1054827 3 63
BO 1054827 3 40
CW 1054827 13 31
BO 1054827 13 14
CW 1054827 12 63
BO 1054827 12 41
CW 1060248 10 63
BO 1060248 10 22
CW 1060248 1 63
BO 1060248 1 5
CW 1065651 11 31
BO 1065651 11 9
CW 1065651 7 31
BO 1065651 7 24
CW 1070995 5 15
BO 1070995 5 6
CW 1076514 14 63
BO 1076514 14 27
CW 1076514 4 63
BO 1076514 4 26
CW 1081876 1 15
BO 1081876 1 7
BO 1087327 15 4
BO 1092778 5 2
CW 1098306 5 31
BO 1098306 5 29
CW 1098306 11 63
BO 1098306 11 17
CW 1098306 2 63
BO 1098306 2 45
BO 1103650 15 4
CW 1109169 13 63
BO 1109169 13 61
CW 1109169 9 63
BO 1109169 9 42
CW 1109169 1 31
BO 1109169 1 10
CW 1114522 8 15
BO 1114522 8 6
BO 1119973 15 6
CW 1125460 6 15
BO 1125460 6 9
CW 1130970 10 127
BO 1130970 10 24
CW 1130970 8 31
BO 1130970 8 2
BO 1136314 15 7
CW 1141774 7 15
BO 1141774 7 9
CW 1147284 1 63
BO 1147284 1 28
CW 1147284 8 63
BO 1147284 8 22
CW 1152646 11 15
BO 1152646 11 8
CW 1158165 6 31
BO 1158165 6 30
CW 1158165 15 31
BO 1158165 15 10
CW 1163509 4 15
BO 1163509 4 14
CW 1168960 14 15
BO 1168960 14 11
BO 1174420 7 14
BO 1179889 11 10
CW 1185340 3 15
BO 1185340 3 3
CW 1190791 12 15
BO 1190791 12 11
CW 1196242 5 15
BO 1196242 5 12
CW 1201761 3 31
BO 1201761 3 23
CW 1201761 15 63
BO 1201761 15 35
BO 1207114 14 1
CW 1212633 14 31
BO 1212633 14 30
CW 1212633 4 31
BO 1212633 4 10
CW 1217977 10 15
BO 1217977 10 6
BO 1223428 11 12
BO 1228879 7 7
CW 1234398 8 127
BO 1234398 8 23
CW 1234398 12 31
BO 1234398 12 17
BO 1239751 5 13
BO 1245202 10 15
CW 1250662 2 15
BO 1250662 2 5
CW 1256172 1 127
BO 1256172 1 77
CW 1256172 9 127
BO 1256172 9 114
CW 1256172 7 31
BO 1256172 7 22
CW 1261516 4 15
BO 1261516 4 1
BO 1266976 4 2
BO 1272427 11 6
CW 1277937 2 31
BO 1277937 2 16
CW 1277937 6 63
BO 1277937 6 23
BO 1283281 4 5
BO 1288759 5 5
CW 1294269 3 63
BO 1294269 3 26
CW 1294269 11 31
BO 1294269 11 1
BO 1299613 4 1
BO 1305064 10 1
CW 1310574 4 31
BO 1310574 4 12
CW 1310574 12 63
BO 1310574 12 25
CW 1310574 11 63
BO 1310574 11 47
BO 1315918 10 2
BO 1321369 5 5
BO 1326829 10 14
CW 1332280 13 15
BO 1332280 13 10
CW 1337731 8 15
BO 1337731 8 12
CW 1343182 14 15
BO 1343182 14 2
BO 1348633 5 4
CW 1354143 2 63
BO 1354143 2 33
CW 1354143 15 127
BO 1354143 15 84
CW 1359546 14 31
BO 1359546 14 26
CW 1359546 7 63
BO 1359546 7 58
BO 1364908 5 14
CW 1370359 4 15
BO 1370359 4 1
CW 1375878 4 31
BO 1375878 4 1
CW 1375878 6 127
BO 1375878 6 92
CW 1375878 13 31
BO 1375878 13 0
BO 1375878 13 25
CW 1381299 10 31
BO 1381299 10 18
CW 1381299 8 31
BO 1381299 8 19
CW 1386652 4 15
BO 1386652 4 9
CW 1392130 3 15
BO 1392130 3 7
CW 1397590 12 15
BO 1397590 12 7
BO 1403041 5 8
BO 1408510 4 13
BO 1413970 3 15
BO 1419430 12 15
BO 1424890 5 8
CW 1430418 10 63
BO 1430418 10 46
CW 1430418 14 63
BO 1430418 14 23
CW 1435762 8 15
BO 1435762 8 12
CW 1441231 2 15
BO 1441231 2 11
CW 1446741 13 63
BO 1446741 13 61
CW 1446741 4 31
BO 1446741 4 4
BO 1452085 5 4
CW 1457613 11 127
BO 1457613 11 117
CW 1457613 3 31
BO 1457613 3 26
CW 1463025 5 31
BO 1463025 5 14
CW 1463025 12 31
BO 1463025 12 9
CW 1463025 4 63
BO 1463025 4 53
BO 1468387 8 1
CW 1473906 8 31
BO 1473906 8 4
CW 1473906 2 31
BO 1473906 2 17
CW 1479313 12 15
BO 1479313 12 8
CW 1484823 14 127
BO 1484823 14 62
CW 1484823 1 255
BO 1484823 1 86
CW 1490253 5 63
BO 1490253 5 34
CW 1490253 8 63
BO 1490253 8 21
CW 1495615 7 15
BO 1495615 7 5
BO 1501066 12 15
CW 1506612 7 31
BO 1506612 7 18
CW 1506612 3 63
BO 1506612 3 38
CW 1511983 2 15
BO 1511983 2 11
CW 1517479 10 15
BO 1517479 10 12
BO 1522930 12 10
CW 1528476 8 127
BO 1528476 8 43
CW 1528476 2 31
BO 1528476 2 30
CW 1533820 15 15
BO 1533820 15 3
BO 1539298 15 12
BO 1544749 12 6
CW 1550259 7 63
BO 1550259 7 20
CW 1550259 10 31
BO 1550259 10 28
CW 1555603 9 15
BO 1555603 9 6
CW 1561149 5 127
BO 1561149 5 42
CW 1561149 12 31
BO 1561149 12 28
CW 1566552 4 127
BO 1566552 4 52
CW 1566552 13 127
BO 1566552 13 63
BO 1571896 9 13
CW 1577424 6 255
BO 1577424 6 167
CW 1577424 15 31
BO 1577424 15 18
CW 1582840 3 15
BO 1582840 3 4
CW 1588359 7 127
BO 1588359 7 26
CW 1588359 9 31
BO 1588359 9 3
CW 1593780 3 31
BO 1593780 3 27
CW 1593780 2 63
BO 1593780 2 28
CW 1599151 9 15
BO 1599151 9 9
CW 1604602 10 15
BO 1604602 10 9
CW 1610053 14 15
BO 1610053 14 8
CW 1615540 12 15
BO 1615540 12 4
CW 1621000 8 15
BO 1621000 8 13
CW 1626510 15 63
BO 1626510 15 32
CW 1626510 9 31
BO 1626510 9 11
CW 1631913 14 31
BO 1631913 14 8
CW 1631913 10 31
BO 1631913 10 25
BO 1637257 12 6
BO 1642762 12 12
CW 1648281 14 63
BO 1648281 14 52
CW 1648281 5 255
BO 1648281 5 154
CW 1653693 9 63
BO 1653693 9 41
CW 1653693 7 255
BO 1653693 7 239
CW 1653693 8 31
BO 1653693 8 20
CW 1659055 1 15
BO 1659055 1 4
CW 1664515 3 15
BO 1664515 3 13
CW 1669966 2 15
BO 1669966 2 7
BO 1675426 1 12
CW 1680936 4 255
BO 1680936 4 254
CW 1680936 12 31
BO 1680936 12 19
BO 1686316 2 6
CW 1691767 10 15
BO 1691767 10 10
CW 1697218 11 15
BO 1697218 11 2
CW 1702746 11 31
BO 1702746 11 18
CW 1702746 3 31
BO 1702746 3 21
CW 1708090 13 15
BO 1708090 13 11
CW 1713600 15 127
BO 1713600 15 43
CW 1713600 1 31
BO 1713600 1 18
CW 1713600 2 31
BO 1713600 2 29
CW 1718962 8 15
BO 1718962 8 5
BO 1724422 10 15
BO 1729900 8 11
BO 1735360 13 1
CW 1740879 13 31
BO 1740879 13 27
CW 1740879 12 63
BO 1740879 12 0
BO 1740879 12 23
CW 1746259 11 15
BO 1746259 11 6
CW 1751787 3 63
BO 1751787 3 22
CW 1751787 10 31
BO 1751787 10 19
CW 1751787 8 31
BO 1751787 8 29
CW 1757131 1 15
BO 1757131 1 3
CW 1762591 9 15
BO 1762591 9 11
BO 1768042 11 2
BO 1773493 1 8
BO 1778953 11 14
CW 1784431 14 15
BO 1784431 14 15
CW 1789882 2 15
BO 1789882 2 0
BO 1789882 2 10
BO 1795342 1 2
BO 1800793 9 1
CW 1806312 9 31
BO 1806312 9 31
CW 1806312 1 31
BO 1806312 1 11
CW 1811742 10 63
BO 1811742 10 50
CW 1811742 12 127
BO 1811742 12 127
BO 1817086 11 4
BO 1822537 2 14
CW 1827988 3 15
BO 1827988 3 5
CW 1833439 13 15
BO 1833439 13 14
CW 1838890 15 15
BO 1838890 15 3
CW 1844400 11 31
BO 1844400 11 13
CW 1844400 14 31
BO 1844400 14 12
CW 1849821 15 31
BO 1849821 15 3
CW 1849821 3 31
BO 1849821 3 23
CW 1855165 8 15
BO 1855165 8 7
CW 1860625 1 15
BO 1860625 1 10
CW 1866085 15 15
BO 1866085 15 7
BO 1871554 2 10
BO 1877005 8 13
BO 1882456 13 8
CW 1887984 15 31
BO 1887984 15 7
CW 1887984 14 63
BO 1887984 14 39
CW 1893387 11 63
BO 1893387 11 3
CW 1893387 1 31
BO 1893387 1 22
CW 1898826 2 31
BO 1898826 2 9
CW 1898826 13 31
BO 1898826 13 16
CW 1904188 15 15
BO 1904188 15 1
CW 1909698 11 127
BO 1909698 11 72
CW 1909698 9 63
BO 1909698 9 51
CW 1909698 8 31
BO 1909698 8 16
BO 1915042 15 11
CW 1920493 3 15
BO 1920493 3 11
CW 1925998 2 15
BO 1925998 2 2
BO 1931467 2 14
BO 1936918 15 8
BO 1942369 3 3
CW 1947829 13 15
BO 1947829 13 15
CW 1953348 3 31
BO 1953348 3 20
CW 1953348 8 63
BO 1953348 8 30
CW 1958692 1 15
BO 1958692 1 14
CW 1964143 10 15
BO 1964143 10 14
BO 1969603 15 7
BO 1975090 2 2
CW 1980618 2 31
BO 1980618 2 20
CW 1980618 15 31
BO 1980618 15 2
CW 1985962 14 15
BO 1985962 14 1
BO 1991413 13 5
BO 1996864 14 10
CW 2002374 1 31
BO 2002374 1 15
CW 2002374 15 63
BO 2002374 15 18
BO 2007718 10 10
BO 2013187 13 5
CW 2018647 3 15
BO 2018647 3 15
CW 2024098 6 15
BO 2024098 6 1
BO 2029558 6 8
CW 2035068 13 31
BO 2035068 13 28
CW 2035068 14 31
BO 2035068 14 25
BO 2040421 10 14
CW 2045899 8 15
