Running Sim0_1
Waf: Entering directory `/home/kajihara/backoff/build'
Waf: Leaving directory `/home/kajihara/backoff/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.426s)
Uplink interval:+588000.0ns Downlink interval:+0.0ns
ApplicationTxStart: 1 Duration: 5
nBss: 1 nStas/Bss: 20 => nStas: 20
BO 0 0 7
CW 1000151 1 31
BO 1000151 1 20
CW 1000151 2 31
BO 1000151 2 14
CW 1000151 3 31
BO 1000151 3 10
CW 1000151 4 31
BO 1000151 4 8
CW 1000151 5 31
BO 1000151 5 13
CW 1000151 6 31
BO 1000151 6 27
CW 1000151 7 31
BO 1000151 7 24
CW 1000151 8 31
BO 1000151 8 8
CW 1000151 9 31
BO 1000151 9 2
CW 1000151 10 31
BO 1000151 10 21
CW 1000151 11 31
BO 1000151 11 25
CW 1000151 12 31
BO 1000151 12 25
CW 1000151 13 31
BO 1000151 13 13
CW 1000151 14 31
BO 1000151 14 15
CW 1000151 15 31
BO 1000151 15 18
CW 1000151 16 31
BO 1000151 16 19
CW 1000151 17 31
BO 1000151 17 31
CW 1000151 18 31
BO 1000151 18 14
CW 1000151 19 31
BO 1000151 19 9
CW 1000151 20 31
BO 1000151 20 1
BO 1000279 0 4
CW 1000339 20 15
BO 1000339 20 5
CW 1000518 9 15
BO 1000518 9 12
BO 1000724 0 10
CW 1000927 4 63
BO 1000927 4 62
CW 1000927 8 63
BO 1000927 8 19
CW 1001031 19 15
BO 1001031 19 9
CW 1001210 3 15
BO 1001210 3 13
BO 1001339 20 15
CW 1001422 5 63
BO 1001422 5 44
CW 1001422 13 63
BO 1001422 13 18
CW 1001541 2 63
BO 1001541 2 12
CW 1001541 18 63
BO 1001541 18 5
CW 1001660 14 63
BO 1001660 14 26
CW 1001812 9 31
BO 1001812 9 13
BO 1001925 0 0
BO 1001925 0 12
BO 1002031 19 7
CW 1002104 15 15
BO 1002104 15 11
CW 1002283 16 15
BO 1002283 16 8
CW 1002462 1 15
BO 1002462 1 10
CW 1002656 18 127
BO 1002656 18 67
CW 1002656 10 63
BO 1002656 10 16
CW 1002793 7 63
BO 1002793 7 63
CW 1002945 3 31
BO 1002945 3 24
CW 1003064 11 63
BO 1003064 11 53
CW 1003064 12 63
BO 1003064 12 26
BO 1003104 15 11
BO 1003283 16 11
BO 1003304 19 2
BO 1003462 1 10
CW 1003483 6 15
BO 1003483 6 9
CW 1003662 2 15
BO 1003662 2 1
CW 1003856 8 127
BO 1003856 8 47
CW 1004008 20 31
BO 1004008 20 16
BO 1004052 2 11
BO 1004112 0 1
CW 1004306 17 63
BO 1004306 17 9
CW 1004458 9 63
BO 1004458 9 49
BO 1004483 6 7
BO 1004562 0 12
CW 1004741 13 15
BO 1004741 13 6
CW 1005123 16 31
BO 1005123 16 8
CW 1005123 15 31
BO 1005123 15 20
CW 1005123 1 31
BO 1005123 1 12
BO 1005372 6 4
CW 1005566 10 127
BO 1005566 10 127
CW 1005566 17 127
BO 1005566 17 24
CW 1005685 14 127
BO 1005685 14 35
BO 1005741 13 9
CW 1005837 2 31
BO 1005837 2 19
BO 1005959 0 12
CW 1006283 20 15
BO 1006283 20 10
CW 1006607 16 15
BO 1006607 16 0
CW 1006922 3 15
BO 1006922 3 6
BO 1007246 13 10
CW 1007440 12 127
BO 1007440 12 78
CW 1007592 1 63
BO 1007592 1 50
BO 1007732 0 11
CW 1007911 5 15
BO 1007911 5 13
CW 1008235 15 15
BO 1008235 15 6
CW 1008577 2 15
BO 1008577 2 2
CW 1008765 17 15
BO 1008765 17 0
BO 1008765 17 5
BO 1008911 5 5
BO 1008962 0 2
CW 1009150 4 15
BO 1009150 4 11
CW 1009344 0 31
BO 1009344 0 30
CW 1009496 17 31
BO 1009496 17 20
BO 1009754 5 1
CW 1009933 8 15
BO 1009933 8 9
CW 1010112 14 15
BO 1010112 14 14
BO 1010150 4 10
CW 1010300 11 15
BO 1010300 11 4
CW 1010624 9 15
BO 1010624 9 14
CW 1010848 7 15
BO 1010848 7 15
BO 1010933 8 11
BO 1011112 14 10
BO 1011163 4 5
BO 1011300 11 2
CW 1011360 18 15
BO 1011360 18 1
BO 1011693 11 10
BO 1011848 7 13
CW 1012017 17 15
BO 1012017 17 15
BO 1012350 14 12
BO 1012360 18 5
BO 1012665 8 14
CW 1012862 0 15
BO 1012862 0 9
BO 1013186 18 5
CW 1013519 1 15
BO 1013519 1 7
BO 1013843 7 13
BO 1014040 0 4
BO 1014255 0 9
BO 1014515 0 10
CW 1014712 12 15
BO 1014712 12 6
BO 1014894 12 14
BO 1014954 0 7
BO 1015196 0 3
BO 1015402 0 10
BO 1015735 12 12
BO 1015977 0 9
CW 1016210 10 15
BO 1016210 10 13
BO 1016407 0 10
CW 1016691 0 31
BO 1016691 0 3
CW 1016843 10 31
BO 1016843 10 23
CW 1016974 0 15
BO 1016974 0 5
BO 1017198 0 5
BO 1017422 0 3
BO 1017568 1 1
BO 1017568 2 6
BO 1017568 3 1
BO 1017568 4 7
BO 1017568 5 1
BO 1017568 6 3
BO 1017568 7 9
BO 1017568 8 12
BO 1017568 9 11
BO 1017568 11 0
BO 1017568 12 6
BO 1017568 13 14
BO 1017568 14 8
BO 1017568 15 7
BO 1017568 16 3
BO 1017568 17 6
BO 1017568 18 12
BO 1017568 19 2
BO 1017568 20 1
BO 1017628 0 2
BO 1017943 11 7
CW 1018289 1 31
BO 1018289 1 14
CW 1018289 3 31
BO 1018289 3 22
CW 1018289 5 31
BO 1018289 5 27
CW 1018289 20 31
BO 1018289 20 13
BO 1018725 19 1
CW 1019483 6 31
BO 1019483 6 25
CW 1019483 16 31
BO 1019483 16 18
BO 1019887 19 10
CW 1021034 2 31
BO 1021034 2 30
CW 1021034 12 31
BO 1021034 12 20
CW 1021034 17 31
BO 1021034 17 27
CW 1022257 4 31
BO 1022257 4 23
CW 1022257 15 31
BO 1022257 15 6
CW 1022445 10 63
BO 1022445 10 30
CW 1024048 11 31
BO 1024048 11 20
CW 1024236 14 31
BO 1024236 14 13
BO 1026540 7 4
BO 1029720 9 10
CW 1033898 8 31
BO 1033898 8 12
CW 1033898 18 31
BO 1033898 18 17
CW 1037030 7 31
BO 1037030 7 17
CW 1039310 13 31
BO 1039310 13 14
CW 1039310 15 63
BO 1039310 15 20
BO 1044654 19 3
CW 1050105 20 15
BO 1050105 20 11
CW 1055556 1 15
BO 1055556 1 5
BO 1061016 19 15
BO 1066485 9 14
CW 1071995 1 31
BO 1071995 1 14
CW 1071995 14 63
BO 1071995 14 47
CW 1071995 16 63
BO 1071995 16 49
CW 1077348 3 15
BO 1077348 3 10
CW 1082808 8 15
BO 1082808 8 1
CW 1088318 12 63
BO 1088318 12 44
CW 1088318 20 31
BO 1088318 20 13
CW 1093721 8 31
BO 1093721 8 11
CW 1093721 11 63
BO 1093721 11 36
CW 1099124 13 63
BO 1099124 13 61
CW 1099124 6 63
BO 1099124 6 37
CW 1099124 5 63
BO 1099124 5 26
CW 1104468 4 15
BO 1104468 4 9
CW 1109978 18 63
BO 1109978 18 23
CW 1109978 7 63
BO 1109978 7 48
CW 1115399 17 63
BO 1115399 17 9
CW 1115399 19 31
BO 1115399 19 9
CW 1120802 15 127
BO 1120802 15 107
CW 1120802 3 31
BO 1120802 3 7
BO 1126146 9 6
CW 1131597 2 15
BO 1131597 2 11
CW 1137048 10 15
BO 1137048 10 5
CW 1142499 1 15
BO 1142499 1 9
BO 1147950 4 6
CW 1153401 8 15
BO 1153401 8 2
CW 1158852 20 15
BO 1158852 20 1
BO 1164303 9 13
CW 1169813 20 31
BO 1169813 20 11
CW 1169813 8 31
BO 1169813 8 24
CW 1169813 10 31
BO 1169813 10 6
CW 1169813 3 63
BO 1169813 3 46
CW 1175216 17 127
BO 1175216 17 115
CW 1175216 19 63
BO 1175216 19 0
BO 1175216 19 24
BO 1180569 4 14
CW 1186088 2 31
BO 1186088 2 11
CW 1186088 1 31
BO 1186088 1 10
CW 1191450 10 15
BO 1191450 10 6
CW 1196996 20 63
BO 1196996 20 31
CW 1196996 5 127
BO 1196996 5 19
CW 1196996 9 31
BO 1196996 9 3
CW 1202340 18 15
BO 1202340 18 9
BO 1207791 10 15
CW 1213319 4 31
BO 1213319 4 10
CW 1213319 9 63
BO 1213319 9 38
CW 1218663 1 15
BO 1218663 1 4
CW 1224114 2 15
BO 1224114 2 8
CW 1229574 11 15
BO 1229574 11 4
CW 1235093 1 31
BO 1235093 1 24
CW 1235093 6 127
BO 1235093 6 120
CW 1235093 18 31
BO 1235093 18 1
CW 1240446 8 15
BO 1240446 8 9
BO 1245897 11 4
CW 1251407 19 127
BO 1251407 19 54
CW 1251407 14 127
BO 1251407 14 12
CW 1251407 18 63
BO 1251407 18 42
CW 1256810 12 127
BO 1256810 12 69
CW 1256810 2 31
BO 1256810 2 16
CW 1262213 4 63
BO 1262213 4 7
CW 1262213 16 127
BO 1262213 16 113
BO 1267557 10 1
BO 1273008 11 8
BO 1278459 10 2
CW 1283910 5 15
BO 1283910 5 14
CW 1289429 10 31
BO 1289429 10 28
CW 1289429 8 31
BO 1289429 8 25
CW 1294850 4 127
BO 1294850 4 17
CW 1294850 7 127
BO 1294850 7 73
BO 1300203 11 10
CW 1305654 14 15
BO 1305654 14 15
CW 1311132 20 15
BO 1311132 20 12
CW 1316583 2 15
BO 1316583 2 11
CW 1322093 3 127
BO 1322093 3 52
CW 1322093 13 127
BO 1322093 13 84
BO 1327437 5 12
CW 1332897 1 15
BO 1332897 1 9
BO 1338348 11 12
CW 1343903 9 127
BO 1343903 9 46
CW 1343903 14 31
BO 1343903 14 5
CW 1349306 4 255
BO 1349306 4 92
CW 1349306 20 31
BO 1349306 20 18
CW 1349306 2 31
BO 1349306 2 17
BO 1354659 1 3
BO 1360110 5 13
CW 1365638 1 31
BO 1365638 1 16
CW 1365638 8 63
BO 1365638 8 6
CW 1365638 11 31
BO 1365638 11 12
CW 1365638 14 63
BO 1365638 14 53
CW 1371000 10 15
BO 1371000 10 9
CW 1376478 18 15
BO 1376478 18 1
BO 1381938 18 5
CW 1387389 8 15
BO 1387389 8 2
BO 1392840 5 5
CW 1398359 8 31
BO 1398359 8 10
CW 1398359 10 31
BO 1398359 10 23
CW 1403703 2 15
BO 1403703 2 11
CW 1409213 18 31
BO 1409213 18 22
CW 1409213 20 63
BO 1409213 20 17
CW 1414557 11 15
BO 1414557 11 0
BO 1414557 11 11
BO 1420008 5 5
CW 1425468 19 15
BO 1425468 19 9
CW 1430919 1 15
BO 1430919 1 2
CW 1436447 1 31
BO 1436447 1 11
CW 1436447 5 31
BO 1436447 5 8
CW 1441800 8 15
BO 1441800 8 5
BO 1447251 2 15
BO 1452711 11 14
BO 1458162 19 0
BO 1458162 19 13
BO 1463622 8 13
CW 1469150 5 63
BO 1469150 5 59
CW 1469150 20 127
BO 1469150 20 121
CW 1474553 12 255
BO 1474553 12 103
CW 1474553 15 255
BO 1474553 15 75
CW 1479965 1 63
BO 1479965 1 41
CW 1479965 3 255
BO 1479965 3 114
CW 1485309 10 15
BO 1485309 10 12
CW 1490760 18 15
BO 1490760 18 4
CW 1496220 9 15
BO 1496220 9 10
BO 1501671 2 7
CW 1507181 11 31
BO 1507181 11 4
CW 1507181 19 31
BO 1507181 19 30
BO 1512525 18 3
BO 1517976 8 10
BO 1523445 18 7
CW 1528896 11 15
BO 1528896 11 9
CW 1534406 7 255
BO 1534406 7 225
CW 1534406 2 31
BO 1534406 2 15
BO 1539750 10 14
BO 1545201 9 11
CW 1550661 17 15
BO 1550661 17 9
CW 1556180 8 31
BO 1556180 8 10
CW 1556180 18 31
BO 1556180 18 9
CW 1561524 14 15
BO 1561524 14 5
BO 1566984 11 6
BO 1572462 14 7
CW 1577972 9 31
BO 1577972 9 2
CW 1577972 17 31
BO 1577972 17 21
CW 1583384 11 31
BO 1583384 11 5
CW 1583384 10 31
BO 1583384 10 19
CW 1588787 18 63
BO 1588787 18 36
CW 1588787 2 63
BO 1588787 2 26
CW 1594131 8 15
BO 1594131 8 11
CW 1599641 13 255
BO 1599641 13 7
CW 1599641 9 63
BO 1599641 9 63
BO 1604994 14 8
CW 1610454 11 15
BO 1610454 11 14
CW 1615914 19 15
BO 1615914 19 6
CW 1621392 13 15
BO 1621392 13 12
CW 1626902 1 127
BO 1626902 1 88
CW 1626902 16 255
BO 1626902 16 51
CW 1626902 8 31
BO 1626902 8 29
CW 1626902 14 31
BO 1626902 14 8
CW 1632314 19 31
BO 1632314 19 10
CW 1632314 6 255
BO 1632314 6 92
CW 1637694 10 15
BO 1637694 10 12
CW 1643204 17 63
BO 1643204 17 52
CW 1643204 11 31
BO 1643204 11 8
CW 1648548 4 15
BO 1648548 4 1
CW 1654067 4 31
BO 1654067 4 12
CW 1654067 14 63
BO 1654067 14 52
BO 1659411 13 15
CW 1664939 2 127
BO 1664939 2 119
CW 1664939 5 127
BO 1664939 5 71
CW 1670360 11 63
BO 1670360 11 27
CW 1670360 19 63
BO 1670360 19 27
BO 1675713 10 10
CW 1681259 4 63
BO 1681259 4 7
CW 1681259 18 127
BO 1681259 18 7
BO 1686621 13 7
BO 1692090 10 15
CW 1697541 8 15
BO 1697541 8 7
CW 1702992 15 15
BO 1702992 15 4
CW 1708520 13 31
BO 1708520 13 22
CW 1708520 4 127
BO 1708520 4 4
CW 1708520 18 255
BO 1708520 18 225
BO 1713873 15 6
BO 1719333 8 13
CW 1724802 4 15
BO 1724802 4 9
BO 1730262 15 7
BO 1735722 10 9
CW 1741232 11 127
BO 1741232 11 7
CW 1741232 19 127
BO 1741232 19 103
CW 1746671 4 31
BO 1746671 4 27
CW 1746671 15 31
BO 1746671 15 10
CW 1752074 16 511
BO 1752074 16 167
CW 1752074 8 31
BO 1752074 8 16
CW 1757418 9 15
BO 1757418 9 12
BO 1762878 10 12
CW 1768415 11 255
BO 1768415 11 145
CW 1768415 13 63
BO 1768415 13 4
CW 1768415 12 511
BO 1768415 12 233
CW 1773759 17 15
BO 1773759 17 8
CW 1779287 15 63
BO 1779287 15 35
CW 1779287 14 127
BO 1779287 14 125
CW 1784640 13 15
BO 1784640 13 13
BO 1790091 9 10
BO 1795551 10 14
BO 1801002 17 2
CW 1806453 8 15
